paper_id,doi,url,url_type,source,section,jspsych_confirmed,checked_date
W4411363565,10.31234/osf.io/zxm9t_v1,https://osf.io/9vt2u,osf,osf_preprint,preprint_supplement,True,2026-07-20
W4411373853,10.31234/osf.io/7ubk2_v2,https://osf.io/qdnbs,osf,osf_preprint,preprint_supplement,False,2026-07-20
W4411433027,10.31234/osf.io/zxm9t_v2,https://osf.io/9vt2u,osf,osf_preprint,preprint_supplement,True,2026-07-20
W4411544064,10.31234/osf.io/3akm5_v1,https://osf.io/gvc2w,osf,osf_preprint,preprint_supplement,False,2026-07-20
W4411556299,10.3758/s13428-025-02701-7,https://github.com/yixiawang/SCLP,github,epmc_fulltext,data_availability,False,2026-07-20
W4411556299,10.3758/s13428-025-02701-7,https://github.com/yixiawang/SCLP-Supplementary-Materials,github,epmc_fulltext,data_availability,False,2026-07-20
W4411556299,10.3758/s13428-025-02701-7,https://osf.io/hgves,osf,epmc_fulltext,data_availability,False,2026-07-20
W4411597307,10.3758/s13414-025-03112-8,https://osf.io/zgsdt,osf,epmc_fulltext,data_availability,False,2026-07-20
W4411597307,10.3758/s13414-025-03112-8,https://zenodo.org/records/15597513,zenodo,epmc_fulltext,references,,2026-07-20
W4411649382,10.31234/osf.io/y45vg_v1,https://osf.io/d6zfr,osf,osf_preprint,preprint_supplement,False,2026-07-20
W4411691294,10.1371/journal.pbio.3003185,https://github.com/maritp/sleepsight,github,epmc_fulltext,data_availability,False,2026-07-20
W4411691294,10.1371/journal.pbio.3003185,https://osf.io/z5rxg,osf,epmc_fulltext,data_availability,False,2026-07-20
W4411691294,10.1371/journal.pbio.3003185,https://zenodo.org/records/15299273,zenodo,epmc_fulltext,data_availability,,2026-07-20
W4411711418,10.1016/j.dib.2025.111844,https://github.com/DVS-Lab/risk-ambiguity-DataInBrief,github,epmc_fulltext,body,False,2026-07-20
W4411711418,10.1016/j.dib.2025.111844,https://zenodo.org/records/15122334,zenodo,epmc_fulltext,body,,2026-07-20
W4411716449,10.31234/osf.io/zeyh3_v2,https://osf.io/4nkmj,osf,osf_preprint,preprint_supplement,False,2026-07-20
W4411728951,10.31234/osf.io/zeyh3_v1,https://osf.io/4nkmj,osf,osf_preprint,preprint_supplement,False,2026-07-20
W4411791217,10.31219/osf.io/3ctsx_v2,https://osf.io/wc96q,osf,osf_preprint,preprint_supplement,False,2026-07-20
W4411842456,10.31234/osf.io/bmz3y_v2,https://osf.io/kybx8,osf,osf_preprint,preprint_supplement,False,2026-07-20
W4411883867,10.1038/s41467-025-61021-8,https://osf.io/kcmbs,osf,epmc_fulltext,body,False,2026-07-20
W4411883867,10.1038/s41467-025-61021-8,https://osf.io/wzt98,osf,epmc_fulltext,data_availability,False,2026-07-20
W4411958688,10.31234/osf.io/8xywk_v1,https://osf.io/d8gau,osf,osf_preprint,preprint_supplement,False,2026-07-20
W4412006958,10.31234/osf.io/h4a38_v2,https://osf.io/p5bz9,osf,osf_preprint,preprint_supplement,False,2026-07-20
W4412071888,10.3758/s13423-025-02728-z,https://osf.io/jwhax,osf,epmc_fulltext,data_availability,False,2026-07-20
W4412138128,10.1177/17470218251360669,https://github.com/richarddmorey/bayesfactor,github,epmc_fulltext,references,False,2026-07-20
W4412138128,10.1177/17470218251360669,https://osf.io/7tvx3,osf,epmc_fulltext,references,False,2026-07-20
W4412138128,10.1177/17470218251360669,https://osf.io/eudxa,osf,epmc_fulltext,body,True,2026-07-20
W4412177851,10.1038/s44271-025-00284-9,https://github.com/philjrdb/HCP-Test-Retest,github,epmc_fulltext,data_availability,True,2026-07-20
W4412177851,10.1038/s44271-025-00284-9,https://osf.io/3u4gp,osf,epmc_fulltext,references,False,2026-07-20
W4412177851,10.1038/s44271-025-00284-9,https://osf.io/ju35h,osf,epmc_fulltext,data_availability,False,2026-07-20
W4412177851,10.1038/s44271-025-00284-9,https://zenodo.org/records/155819599,zenodo,epmc_fulltext,data_availability,,2026-07-20
W4412203876,10.3758/s13428-026-02995-1,https://osf.io/qf847,osf,epmc_fulltext,data_availability,False,2026-07-20
W4412203876,10.3758/s13428-026-02995-1,https://pavlovia.org/kalvinroberts/trimodaltiming,pavlovia,epmc_fulltext,body,,2026-07-20
W4412203876,10.3758/s13428-026-02995-1,https://pavlovia.org/lpxrh6/vibrate_playlist,pavlovia,epmc_fulltext,body,,2026-07-20
