institution_key,institution_name,ror,country,n_papers,n_authors,first_use,last_use
ror:01ynf4891,University of Milano-Bicocca,01ynf4891,IT,16,12,2019-12-05,2026-05-29
ror:027bh9e22,Leiden University,027bh9e22,NL,16,22,2014-11-19,2026-02-18
ror:02vm5rt34,Vanderbilt University,02vm5rt34,US,16,21,2017-02-20,2026-03-18
ror:03gp5b411,Baycrest Hospital,03gp5b411,CA,16,11,2021-02-11,2026-05-21
ror:03v4gjf40,Technische Universität Berlin,03v4gjf40,DE,16,16,2021-01-01,2026-05-28
ror:049s0rh22,Dartmouth College,049s0rh22,US,16,37,2016-09-15,2026-05-29
ror:04tsk2644,Ruhr University Bochum,04tsk2644,DE,16,29,2021-11-10,2026-05-11
ror:00cvxb145,University of Washington,00cvxb145,US,15,21,2018-11-01,2026-03-05
ror:00mkhxb43,University of Notre Dame,00mkhxb43,US,15,18,2018-06-11,2025-06-02
ror:00rcxh774,University of Cologne,00rcxh774,DE,15,15,2017-07-04,2026-05-01
ror:01an7q238,"University of California, Berkeley",01an7q238,US,15,19,2017-07-25,2026-02-14
ror:01kvpec59,Rotman Research Institute,01kvpec59,CA,15,11,2021-02-11,2026-05-21
ror:01ryk1543,University of Southampton,01ryk1543,GB,15,26,2017-01-01,2026-04-29
ror:01zkghx44,Georgia Institute of Technology,01zkghx44,US,15,13,2017-09-15,2026-05-25
ror:022x6qg61,Vassar College,022x6qg61,US,15,50,2014-01-01,2025-09-11
ror:03cv38k47,University Medical Center Groningen,03cv38k47,NL,15,22,2018-04-25,2026-05-20
ror:03xjwb503,Université Paris-Saclay,03xjwb503,FR,15,14,2020-07-31,2026-02-24
ror:04pp8hn57,Utrecht University,04pp8hn57,NL,15,28,2021-03-08,2026-07-13
ror:05x2bcf33,Carnegie Mellon University,05x2bcf33,US,15,17,2017-07-21,2026-02-11
ror:01xtthb56,University of Oslo,01xtthb56,NO,14,22,2016-09-01,2026-02-18
ror:022k4wk35,Beijing Normal University,022k4wk35,CN,14,30,2020-07-09,2026-06-09
ror:00rs6vg23,The Ohio State University,00rs6vg23,US,13,21,2016-01-01,2026-06-29
ror:00t7fmg72,Centre for Research on Brain Language and Music,00t7fmg72,CA,13,24,2021-02-27,2026-06-15
ror:00za53h95,Johns Hopkins University,00za53h95,US,13,19,2019-03-11,2025-11-13
ror:01aff2v68,University of Waterloo,01aff2v68,CA,13,18,2022-12-02,2026-04-22
ror:01h9v1373,Language Science (South Korea),01h9v1373,KR,13,25,2023-06-19,2026-02-20
ror:01sf06y89,Macquarie University,01sf06y89,AU,13,22,2021-07-17,2025-05-06
ror:03kk7td41,Cardiff University,03kk7td41,GB,13,14,2021-03-16,2026-01-09
ror:04gyf1771,"University of California, Irvine",04gyf1771,US,13,23,2021-07-05,2026-02-25
ror:04njjy449,Universidad de Granada,04njjy449,ES,13,16,2021-09-24,2026-02-28
ror:01a77tt86,University of Warwick,01a77tt86,GB,12,12,2016-07-15,2025-11-26
ror:01qfab443,Institut Jean Nicod,01qfab443,FR,12,11,2020-04-07,2026-01-08
ror:01y9bpm73,University of Göttingen,01y9bpm73,DE,12,19,2018-09-04,2025-11-26
ror:026nmvv73,Max Planck Institute for Biological Cybernetics,026nmvv73,DE,12,11,2019-03-08,2025-05-21
ror:03aba6h29,"Czech Academy of Sciences, Institute of Psychology",03aba6h29,CZ,12,15,2020-03-26,2025-11-01
