institution_key,institution_name,ror,country,n_papers,n_authors,first_use,last_use
ror:05fd42690,Huron (France),05fd42690,FR,5,3,2021-05-14,2026-02-21
ror:05fq50484,York University,05fq50484,CA,5,18,2018-02-12,2025-10-09
ror:05gbven85,Wisconsin Institutes for Discovery,05gbven85,US,5,4,2021-09-29,2026-02-23
ror:05gqaka33,Martin Luther University Halle-Wittenberg,05gqaka33,DE,5,1,2022-05-18,2026-01-09
ror:05n3dz165,University of Jyväskylä,05n3dz165,FI,5,12,2023-11-29,2026-05-30
ror:05vghhr25,University of Turku,05vghhr25,FI,5,12,2024-05-23,2026-06-12
ror:05xg72x27,Norwegian University of Science and Technology,05xg72x27,NO,5,9,2022-07-29,2026-03-20
ror:001kjn539,St Vincent's Hospital Melbourne,001kjn539,AU,4,2,2020-05-29,2023-09-02
ror:007zn4n28,Hologic (Germany),007zn4n28,DE,4,8,2023-03-30,2026-04-14
ror:009avj582,Oregon Health & Science University,009avj582,US,4,12,2022-01-04,2025-10-01
ror:00afp2z80,University of Liège,00afp2z80,BE,4,7,2020-05-29,2026-02-18
ror:00cfam450,Helmholtz Zentrum München,00cfam450,DE,4,6,2021-03-10,2025-07-28
ror:00mx91s63,Catholic University of Eichstätt-Ingolstadt,00mx91s63,DE,4,2,2022-09-03,2025-10-11
ror:00ne6sr39,Universidad de Deusto,00ne6sr39,ES,4,2,2016-03-31,2018-10-01
ror:00py81415,Duke University,00py81415,US,4,8,2015-08-26,2024-02-26
ror:00y2z2s03,Amsterdam University of Applied Sciences,00y2z2s03,NL,4,7,2019-05-15,2025-09-16
ror:00ygt2y02,Ernst Strüngmann Institute for Neuroscience,00ygt2y02,DE,4,3,2021-10-16,2025-10-10
ror:01111rn36,University of Bologna,01111rn36,IT,4,6,2022-05-31,2022-09-30
ror:0130frc33,University of North Carolina at Chapel Hill,0130frc33,US,4,6,2015-08-26,2025-06-24
ror:01485tq96,University of Wyoming,01485tq96,US,4,6,2017-07-25,2022-10-20
ror:018d33y89,Neurobehavioral Systems,018d33y89,US,4,10,2017-10-10,2026-06-12
ror:019k4jq75,Brooklyn College,019k4jq75,US,4,4,2020-01-15,2026-02-04
ror:01a6zh966,Institut de Neurosciences Cognitives et Intégratives d’Aquitaine,01a6zh966,FR,4,4,2020-04-07,2024-04-12
ror:01arysc35,Santa Fe Institute,01arysc35,US,4,6,2022-11-22,2026-06-11
ror:01gaw2478,Teikyo University,01gaw2478,JP,4,3,2025-01-02,2025-10-29
ror:01hhn8329,Max Planck Society,01hhn8329,DE,4,7,2015-06-26,2025-10-10
ror:01khx4a30,Goldsmiths University of London,01khx4a30,GB,4,5,2020-10-20,2026-02-18
ror:01kpzv902,Flinders University,01kpzv902,AU,4,2,2018-08-24,2025-12-03
ror:01kq0pv72,South China Normal University,01kq0pv72,CN,4,7,2022-08-04,2026-06-09
ror:01tmp8f25,Universidad Nacional Autónoma de México,01tmp8f25,MX,4,6,2023-01-23,2026-02-03
ror:01wntqw50,Ankara University,01wntqw50,TR,4,7,2023-04-22,2026-01-19
ror:01wy3h363,Shandong Normal University,01wy3h363,CN,4,2,2025-07-31,2026-04-21
ror:023kqz006,Laboratoire de Psychologie du Développement et de L’Education de l’enfant,023kqz006,FR,4,4,2021-10-04,2024-07-31
ror:02495e989,UCLouvain,02495e989,BE,4,7,2021-03-24,2024-12-12
ror:024mrxd33,University of Leeds,024mrxd33,GB,4,8,2023-11-30,2025-09-01
ror:029819q61,Chinese Institute for Brain Research,029819q61,CN,4,4,2021-11-19,2026-02-27
ror:02jz4aj89,Maastricht University,02jz4aj89,NL,4,6,2016-07-05,2026-02-18
ror:02kzqn938,Université de Lille,02kzqn938,FR,4,5,2022-12-20,2026-02-18
ror:02smfhw86,Virginia Tech,02smfhw86,US,4,7,2021-03-11,2026-05-22
ror:02tyrky19,Trinity College Dublin,02tyrky19,IE,4,8,2022-04-27,2026-04-08
ror:02v51f717,Peking University,02v51f717,CN,4,5,2020-03-20,2026-02-27
ror:031bsb921,University of Mannheim,031bsb921,DE,4,11,2019-01-16,2025-04-24
ror:036nfer12,University of Central Florida,036nfer12,US,4,6,2022-03-31,2025-11-04
ror:039594g80,School of Advanced Study,039594g80,GB,4,4,2021-03-04,2023-09-01
ror:03bqmcz70,Jagiellonian University,03bqmcz70,PL,4,6,2020-04-11,2026-04-01
ror:03f0f6041,University of Technology Sydney,03f0f6041,AU,4,4,2019-01-01,2026-05-26
ror:03gnr7b55,Nantes Université,03gnr7b55,FR,4,5,2020-08-03,2025-12-01
ror:03j7v5j15,"Institute of Psychology, Chinese Academy of Sciences",03j7v5j15,CN,4,9,2023-01-01,2026-01-16
ror:03mtd9a03,Stanford Medicine,03mtd9a03,US,4,6,2020-07-31,2026-05-20
ror:03qc8vh97,University of Trás-os-Montes and Alto Douro,03qc8vh97,PT,4,7,2022-05-04,2025-05-05
ror:03qvqb743,Chuo University,03qvqb743,JP,4,1,2022-01-01,2022-07-04
ror:03yjb2x39,University of Calgary,03yjb2x39,CA,4,4,2018-09-17,2026-01-30
ror:03z77qz90,University of Tartu,03z77qz90,EE,4,3,2023-04-25,2025-01-20
ror:03zga2b32,University of Bergen,03zga2b32,NO,4,5,2020-05-29,2025-12-19
ror:041akq887,Universidade Federal de Santa Catarina,041akq887,BR,4,7,2021-04-30,2024-11-04
ror:0420zvk78,Concordia University,0420zvk78,CA,4,7,2022-09-30,2025-12-16
ror:042aqky30,Technische Universität Dresden,042aqky30,DE,4,13,2023-09-01,2026-03-01
ror:043mz5j54,"University of California, San Francisco",043mz5j54,US,4,11,2020-10-09,2026-05-20
ror:046865y68,Hanyang University,046865y68,KR,4,4,2020-03-21,2025-12-13
ror:046b3cj80,École Pratique des Hautes Études,046b3cj80,FR,4,6,2023-06-01,2026-02-18
ror:047gc3g35,University of Chile,047gc3g35,CL,4,6,2024-02-21,2026-02-14
ror:049e6bc10,Northumbria University,049e6bc10,GB,4,8,2019-01-29,2025-12-01
ror:04d7es448,Ospedale Policlinico San Martino,04d7es448,IT,4,2,2022-05-23,2024-11-17
ror:04jc43x05,TUM Klinikum,04jc43x05,DE,4,11,2021-03-10,2026-02-18
ror:04pzgb662,The Scarborough Hospital,04pzgb662,CA,4,3,2020-04-11,2026-01-01
ror:04r0gp612,Neurological Surgery,04r0gp612,US,4,14,2020-10-09,2025-10-01
ror:04rnxkh71,Moscow State University of Psychology & Education,04rnxkh71,RU,4,3,2023-12-26,2025-12-30
ror:04zc7p361,University of Kassel,04zc7p361,DE,4,5,2020-12-23,2026-01-31
ror:057w15z03,Erasmus University Rotterdam,057w15z03,NL,4,5,2017-01-01,2025-07-01
ror:058kzsd48,Paderborn University,058kzsd48,DE,4,7,2021-01-01,2025-05-27
ror:05ect4e57,Louisiana State University,05ect4e57,US,4,9,2018-11-14,2023-02-03
ror:05f0yaq80,Stockholm University,05f0yaq80,SE,4,3,2020-12-04,2025-05-28
ror:05f8a4p63,Tamagawa University,05f8a4p63,JP,4,9,2021-10-13,2026-06-19
ror:05fa8ka61,INESC TEC,05fa8ka61,PT,4,8,2022-05-04,2024-09-02
ror:05fcmfe52,Fryske Akademy,05fcmfe52,NL,4,3,2020-01-01,2022-05-18
ror:05gg4qm19,Yamagata University Hospital,05gg4qm19,JP,4,2,2021-01-01,2024-02-29
ror:05jbt9m15,University of Arkansas at Fayetteville,05jbt9m15,US,4,2,2021-10-30,2026-05-12
ror:05n3x4p02,Medical University of Vienna,05n3x4p02,AT,4,11,2019-08-07,2024-02-14
ror:05nbqxr67,Miami University,05nbqxr67,US,4,4,2016-02-04,2017-08-17
ror:05trd4x28,University of Trento,05trd4x28,IT,4,5,2022-07-21,2026-05-29
ror:05wg1m734,Radboud University Medical Center,05wg1m734,NL,4,10,2023-10-12,2026-05-20
ror:05whq8x35,Laboratoire Parole et Langage,05whq8x35,FR,4,6,2016-07-13,2025-11-25
name:university of clermont auvergne,University of Clermont Auvergne,,FR,3,2,2021-03-04,2024-05-09
ror:0008xqs48,Institut d'Investigació Biomédica de Bellvitge,0008xqs48,ES,3,4,2023-01-06,2026-02-18
ror:003j5cv40,Haskins Laboratories,003j5cv40,US,3,3,2020-04-11,2023-01-17
ror:004fze387,Scuola Internazionale Superiore di Studi Avanzati,004fze387,IT,3,5,2021-10-25,2026-01-11
ror:004raaa70,Université Fédérale de Toulouse Midi-Pyrénées,004raaa70,FR,3,3,2020-04-11,2023-08-21
ror:006e5kg04,Vrije Universiteit Brussel,006e5kg04,BE,3,3,2019-07-03,2024-03-30
ror:006jb1a24,Bangor University,006jb1a24,GB,3,4,2020-10-07,2025-03-07
ror:0080acb59,John Radcliffe Hospital,0080acb59,GB,3,6,2019-01-22,2021-03-31
ror:0093src13,University of Applied Sciences Leiden,0093src13,NL,3,2,2014-11-19,2023-03-30
ror:00a2xv884,Zhejiang University,00a2xv884,CN,3,10,2026-01-01,2026-05-27
ror:00awd9g61,"The Graduate Center, CUNY",00awd9g61,US,3,4,2017-08-17,2025-10-21
ror:00mv6sv71,University of Zagreb,00mv6sv71,HR,3,5,2022-07-17,2024-10-10
ror:00ntfnx83,Waseda University,00ntfnx83,JP,3,3,2019-12-20,2025-07-26
ror:00pjdza24,University of California System,00pjdza24,US,3,3,2020-08-09,2025-08-04
ror:00rghrr56,Kochi University of Technology,00rghrr56,JP,3,3,2021-06-27,2022-08-16
ror:00w7whj55,Berliner Hochschule für Technik,00w7whj55,DE,3,4,2019-01-28,2026-01-01
ror:00we1gw23,MIND Research Institute,00we1gw23,US,3,3,2021-08-25,2023-05-10
ror:012a77v79,Lund University,012a77v79,SE,3,5,2018-06-15,2020-07-13
ror:013bkhk48,Université Paris Nanterre,013bkhk48,FR,3,3,2022-02-03,2025-05-23
ror:01460j859,Universitat Politècnica de València,01460j859,ES,3,5,2019-11-14,2025-04-25
ror:015803449,South London and Maudsley NHS Foundation Trust,015803449,GB,3,5,2020-05-29,2022-09-07
ror:019wvm592,Australian National University,019wvm592,AU,3,3,2021-11-13,2025-11-03
ror:01b8kcc49,National Cheng Kung University,01b8kcc49,TW,3,6,2021-11-22,2022-01-01
ror:01c27hj86,University of Lisbon,01c27hj86,PT,3,4,2021-11-09,2024-12-31
ror:01c9cnw16,Ankara Medipol Üniversitesi,01c9cnw16,,3,4,2023-12-18,2025-03-15
ror:01gmqr298,Vita-Salute San Raffaele University,01gmqr298,IT,3,6,2023-08-24,2025-06-21
ror:01j9f6752,University of Koblenz and Landau,01j9f6752,DE,3,3,2015-11-05,2022-09-17
ror:01jmxt844,University of Otago,01jmxt844,NZ,3,2,2020-01-20,2024-05-11
ror:01jsgmp44,HUN-REN Institute of Experimental Medicine,01jsgmp44,HU,3,1,2024-12-04,2025-08-30
ror:01pnej532,University of Szeged,01pnej532,HU,3,2,2022-05-05,2025-06-05
ror:01q9sj412,University Hospital of Bern,01q9sj412,CH,3,3,2021-03-10,2023-05-03
ror:01rf5x574,Laboratoire de Psychologie Cognitive,01rf5x574,FR,3,5,2016-07-13,2025-01-01
ror:01sdtdd95,Canadian Institute for Advanced Research,01sdtdd95,CA,3,6,2022-01-01,2024-10-21
ror:01t4k8953,Laboratoire de Psychologie Sociale et Cognitive,01t4k8953,FR,3,2,2021-03-04,2024-05-09
ror:01tm6cn81,University of Gothenburg,01tm6cn81,SE,3,3,2022-08-22,2023-10-18
ror:01yqg2h08,Harbin Institute of Technology,01yqg2h08,CN,3,5,2022-04-07,2024-02-28
ror:020pekv35,Center for Applied Linguistics,020pekv35,US,3,5,2023-06-19,2025-11-01
ror:021018s57,Universitat de Barcelona,021018s57,ES,3,3,2021-03-11,2023-01-06
ror:0223bz716,Laboratoire de Linguistique Formelle,0223bz716,FR,3,4,2022-06-13,2026-02-01
ror:023b0x485,Johannes Gutenberg University Mainz,023b0x485,DE,3,6,2022-08-13,2025-09-02
ror:025r5qe02,Syracuse University,025r5qe02,US,3,8,2018-04-30,2025-04-24
ror:026s4j722,Russian Academy of Education,026s4j722,RU,3,9,2018-01-01,2021-09-24
ror:028pmsz77,James Madison University,028pmsz77,US,3,4,2022-05-01,2024-09-24
ror:029pk6x14,Åbo Akademi University,029pk6x14,FI,3,7,2020-04-11,2026-06-12
ror:02a33b393,Max Planck Institute for Evolutionary Anthropology,02a33b393,DE,3,9,2020-04-11,2023-10-18
ror:02avqqw26,"California State University, Fullerton",02avqqw26,US,3,3,2020-04-11,2022-07-18
ror:02be6w209,Sapienza University of Rome,02be6w209,IT,3,6,2018-02-14,2025-01-17
ror:02c2kyt77,Eindhoven University of Technology,02c2kyt77,NL,3,2,2023-01-30,2023-10-06
ror:02der9h97,University of Connecticut,02der9h97,US,3,5,2020-10-15,2023-08-01
ror:02dgjyy92,University of Miami,02dgjyy92,US,3,3,2022-05-01,2023-10-18
ror:02ehvej48,Rational (Germany),02ehvej48,DE,3,1,2021-05-05,2022-04-11
ror:02fgakj19,Centre Neurosciences intégratives et Cognition,02fgakj19,FR,3,3,2020-04-07,2024-04-12
ror:02j46qs45,Masaryk University,02j46qs45,CZ,3,8,2016-07-05,2018-09-09
ror:02jqc0m91,Seattle University,02jqc0m91,US,3,4,2020-04-09,2024-08-14
ror:02k5swt12,Universidade Federal de São Paulo,02k5swt12,BR,3,7,2024-12-31,2026-02-18
ror:02k7v4d05,University of Bern,02k7v4d05,CH,3,4,2021-03-10,2025-04-25
ror:02kn6nx58,Keio University,02kn6nx58,JP,3,5,2021-03-19,2025-09-29
ror:02mpq6x41,University of Illinois Chicago,02mpq6x41,US,3,4,2022-10-13,2026-02-28
ror:02nzxcb82,Center for Translational Neurophysiology of Speech and Communication,02nzxcb82,IT,3,2,2022-07-22,2023-12-07
ror:02qt0xs84,Cal Poly Humboldt,02qt0xs84,US,3,9,2023-10-23,2026-03-01
ror:02qtvee93,Carleton University,02qtvee93,CA,3,3,2021-01-01,2024-07-10
ror:02t274463,"University of California, Santa Barbara",02t274463,US,3,5,2021-01-14,2025-11-01
ror:02w2y2t16,Leuphana University of Lüneburg,02w2y2t16,DE,3,4,2023-01-23,2025-01-30
ror:02wn5qz54,University of St Andrews,02wn5qz54,GB,3,4,2022-12-07,2026-04-08
ror:02x1q2477,Max Planck Institute for Behavioral Economics,02x1q2477,DE,3,5,2015-11-05,2021-02-16
ror:035b05819,University of Copenhagen,035b05819,DK,3,4,2020-08-21,2025-01-01
ror:036b2ww28,Universidad de Málaga,036b2ww28,ES,3,5,2021-09-24,2024-07-11
ror:0378cd528,Institute for Cognitive Science Studies,0378cd528,IR,3,3,2022-02-11,2024-01-01
ror:037jwzz50,Istanbul Medipol University,037jwzz50,TR,3,4,2023-12-18,2025-03-15
ror:037zgn354,Johns Hopkins Medicine,037zgn354,US,3,4,2025-01-03,2025-10-01
ror:03a6vay74,Japan Graduate School of Education University,03a6vay74,JP,3,3,2022-04-19,2025-08-11
ror:03cve4549,Tsinghua University,03cve4549,CN,3,6,2015-07-23,2024-03-27
ror:03czfpz43,Emory University,03czfpz43,US,3,6,2024-09-05,2025-10-01
ror:03d1zwe41,Center for Behavioral Brain Sciences,03d1zwe41,DE,3,3,2021-11-10,2023-01-06
ror:03ds72003,Mitchell Institute,03ds72003,US,3,5,2021-09-01,2025-09-18
ror:03e04kk51,Women and Children’s Health Research Institute,03e04kk51,CA,3,3,2023-06-07,2024-09-26
ror:03p2z7827,Benemérita Universidad Autónoma de Puebla,03p2z7827,MX,3,4,2023-05-30,2025-04-21
ror:03qxff017,Hebrew University of Jerusalem,03qxff017,IL,3,8,2020-09-22,2025-02-20
ror:03t78wx29,Hiroshima University,03t78wx29,JP,3,11,2019-01-01,2024-08-01
ror:040ch0e11,Cambridgeshire and Peterborough NHS Foundation Trust,040ch0e11,GB,3,2,2022-03-17,2024-03-04
ror:043071f54,University of Roehampton,043071f54,GB,3,2,2020-05-29,2023-09-18
ror:048tbm396,University of Turin,048tbm396,IT,3,3,2022-05-23,2022-09-30
ror:04b6nzv94,Brigham and Women's Hospital,04b6nzv94,US,3,5,2016-02-04,2023-11-26
ror:04bdffz58,Drexel University,04bdffz58,US,3,4,2017-10-11,2025-09-27
ror:04d5f4w73,Stockholm Health Care Services,04d5f4w73,SE,3,4,2022-05-18,2026-02-10
ror:04drvxt59,Beth Israel Deaconess Medical Center,04drvxt59,US,3,1,2023-03-21,2024-08-13
ror:04ex24z53,Collège de France,04ex24z53,FR,3,4,2020-07-31,2022-11-17
ror:04f7jc139,Hochschule Bremen,04f7jc139,DE,3,4,2023-01-23,2026-03-01
ror:04h9pn542,Seoul National University,04h9pn542,KR,3,3,2019-08-14,2025-11-20
ror:04jscf286,Ottawa University,04jscf286,US,3,5,2021-08-10,2026-02-18
ror:04n0g0b29,Universitat Pompeu Fabra,04n0g0b29,ES,3,7,2018-11-28,2024-03-25
ror:04pyvbw03,"California State University, Dominguez Hills",04pyvbw03,US,3,1,2025-01-17,2026-05-25
ror:04q78tk20,Sungkyunkwan University,04q78tk20,KR,3,5,2018-07-13,2025-11-20
ror:04qrtgy16,MIREA - Russian Technological University,04qrtgy16,RU,3,11,2018-01-01,2021-09-24
ror:04r1hh402,Barry University,04r1hh402,US,3,2,2022-01-01,2026-02-23
ror:04s361q55,Cognitive Research (United States),04s361q55,US,3,8,2024-04-30,2025-10-13
ror:04tfzc498,Istituti di Ricovero e Cura a Carattere Scientifico,04tfzc498,IT,3,2,2022-07-22,2024-05-03
ror:04v2twj65,Oxford Brookes University,04v2twj65,GB,3,11,2019-01-22,2021-03-31
ror:04vg4w365,Loughborough University,04vg4w365,GB,3,2,2016-05-27,2025-02-17
ror:04xs57h96,University of Liverpool,04xs57h96,GB,3,3,2021-11-22,2023-10-01
ror:04xyxjd90,Nottingham Trent University,04xyxjd90,GB,3,3,2021-02-04,2024-09-24
ror:04zxw0v05,Center for Pain and the Brain,04zxw0v05,US,3,4,2016-02-04,2020-07-03
ror:051mrsz47,University of Skövde,051mrsz47,SE,3,5,2019-06-26,2023-01-30
ror:053fq8t95,Swansea University,053fq8t95,GB,3,2,2019-09-17,2024-07-29
ror:053h75930,Bunkyo University,053h75930,JP,3,4,2022-12-15,2025-03-19
ror:057qpr032,Université de Bordeaux,057qpr032,FR,3,4,2023-06-01,2026-03-21
ror:05bqach95,National Taiwan University,05bqach95,TW,3,6,2018-12-16,2024-03-08
ror:05csn2x06,Netherlands Institute for Neuroscience,05csn2x06,NL,3,5,2022-02-16,2024-08-23
ror:05dk2r620,Douglas Mental Health University Institute,05dk2r620,CA,3,3,2023-01-12,2025-01-08
ror:05ejpqr48,Worcester Polytechnic Institute,05ejpqr48,US,3,12,2023-08-17,2026-03-09
ror:05g3dte14,Florida State University,05g3dte14,US,3,3,2019-09-23,2026-05-20
ror:05ghs6f64,Montreal Neurological Institute and Hospital,05ghs6f64,CA,3,7,2021-02-27,2022-03-28
ror:05grhsk96,Vanderbilt Health,05grhsk96,US,3,3,2025-05-30,2025-10-01
ror:05gs8cd61,University of Salzburg,05gs8cd61,AT,3,4,2024-03-21,2025-03-07
ror:05mey9k78,Tallinn University,05mey9k78,EE,3,6,2020-03-13,2022-05-24
ror:05n3asa33,Instituto de Investigación Biomédica de Málaga,05n3asa33,ES,3,5,2021-09-24,2024-07-11
ror:05njb9z20,University of Ljubljana,05njb9z20,SI,3,4,2016-07-05,2025-07-01
ror:05nkf0n29,University of New Brunswick,05nkf0n29,CA,3,4,2020-08-09,2026-02-18
ror:05rqwc876,Sciences Cognitives et Sciences Affectives,05rqwc876,FR,3,6,2022-12-20,2025-11-25
ror:05rxmkq09,Fundación Ciencias Exactas y Naturales,05rxmkq09,AR,3,5,2020-02-20,2023-07-12
ror:05s5xvk70,Einstein Center for Neurosciences Berlin,05s5xvk70,DE,3,5,2021-05-28,2024-11-25
"name:department of psychology, stanford university","Department of Psychology, Stanford University.",,,2,1,2025-12-30,2026-06-01
"name:department of psychology, university of wisconsin-madison","Department of Psychology, University of Wisconsin-Madison.",,,2,3,2025-12-30,2026-06-01
ror:001gpfp45,California Polytechnic State University,001gpfp45,US,2,5,2021-02-18,2022-02-11
ror:002rw7y37,Aoyama Gakuin University,002rw7y37,JP,2,2,2021-12-09,2023-01-25
ror:00453a208,City University of New York,00453a208,US,2,2,2021-04-26,2022-04-14
ror:00523a319,VIZJA University,00523a319,PL,2,1,2025-08-01,2026-02-18
ror:005781934,Baylor University,005781934,US,2,2,2018-09-17,2024-01-24
ror:006hf6230,University of Twente,006hf6230,NL,2,2,2014-11-19,2023-12-05
ror:0086bb350,Einstein Center Digital Future,0086bb350,DE,2,1,2024-01-01,2026-01-01
ror:00892tw58,The University of Adelaide,00892tw58,AU,2,2,2022-07-14,2025-04-11
ror:008e3hf02,Central University of Finance and Economics,008e3hf02,CN,2,1,2025-12-18,2026-01-06
ror:008x57b05,University of Antwerp,008x57b05,BE,2,2,2021-02-06,2025-04-24
ror:0090zs177,London School of Economics and Political Science,0090zs177,GB,2,2,2025-05-25,2025-07-01
ror:00971b260,Google DeepMind (United Kingdom),00971b260,GB,2,2,2022-05-19,2026-02-05
ror:00987cb86,Universidade Estadual Paulista (Unesp),00987cb86,BR,2,2,2025-08-01,2026-02-18
ror:00990e921,Sigmund Freud Privatuniversität - Standort Mailand,00990e921,IT,2,7,2023-08-24,2025-06-21
ror:00b6j6x40,International Psychoanalytic University Berlin,00b6j6x40,DE,2,2,2022-10-01,2026-01-27
ror:00c2t9540,Taisho University,00c2t9540,JP,2,1,2025-09-29,2025-10-01
ror:00cbm0437,Bridge University,00cbm0437,SS,2,6,2023-02-28,2024-01-01
ror:00e6ytg41,Jiangsu Second Normal University,00e6ytg41,CN,2,1,2023-09-23,2025-07-25
ror:00eae9z71,University of Newcastle Australia,00eae9z71,AU,2,3,2022-11-26,2026-05-26
ror:00fn7gb05,Wilfrid Laurier University,00fn7gb05,CA,2,1,2022-12-02,2024-08-27
ror:00g700j37,Université Bourgogne Europe,00g700j37,FR,2,4,2025-08-01,2026-02-18
ror:00gx3j908,Northwest Normal University,00gx3j908,CN,2,2,2026-01-01,2026-05-01
ror:00jfeg660,Center for the Neural Basis of Cognition,00jfeg660,US,2,1,2020-11-30,2023-01-31
ror:00k6tx165,Ball State University,00k6tx165,US,2,2,2020-04-11,2022-07-18
ror:00kybxq39,Université de Sherbrooke,00kybxq39,CA,2,2,2019-09-18,2020-04-19
ror:00m8d6786,Karolinska University Hospital,00m8d6786,SE,2,3,2025-04-26,2025-05-28
ror:00nsyd297,Widener University,00nsyd297,US,2,1,2023-03-21,2023-09-01
ror:00nvaaq81,Sydney University Musical Society,00nvaaq81,AU,2,1,2025-08-01,2026-02-18
ror:00pg5jh14,Assistance Publique – Hôpitaux de Paris,00pg5jh14,FR,2,1,2025-08-01,2026-02-18
ror:00r1edq15,Universität Greifswald,00r1edq15,DE,2,3,2022-09-17,2025-01-30
ror:00rcvgx40,Rutgers Sexual and Reproductive Health and Rights,00rcvgx40,NL,2,2,2024-01-24,2026-05-05
ror:00rd5t069,Wenzhou Medical University,00rd5t069,CN,2,2,2024-08-30,2025-12-25
ror:00v4yb702,Rochester Institute of Technology,00v4yb702,US,2,6,2024-05-11,2025-04-25
ror:00veegj02,Centro Científico Tecnológico - Tandil,00veegj02,AR,2,3,2019-08-07,2025-03-30
ror:00x194q47,Rikkyo University,00x194q47,JP,2,4,2023-11-01,2025-07-26
ror:00x67m532,Hanover University of Music Drama and Media,00x67m532,DE,2,3,2025-08-01,2026-02-18
ror:00xkeyj56,University of Kent,00xkeyj56,GB,2,1,2021-03-04,2021-12-07
ror:00xqtxw43,Hanze University of Applied Sciences,00xqtxw43,NL,2,3,2023-01-01,2025-01-20
ror:00y0zf565,Institute for Basic Science,00y0zf565,KR,2,4,2024-08-21,2025-11-20
ror:00y809n33,Tokyo University of the Arts,00y809n33,JP,2,4,2021-12-13,2024-08-26
ror:00ysfqy60,Oregon State University,00ysfqy60,US,2,4,2025-04-11,2026-04-01
ror:00ytxqz74,Addiction Switzerland,00ytxqz74,CH,2,3,2022-01-01,2022-11-10
ror:00z9wtp09,Aichi Shukutoku University,00z9wtp09,JP,2,1,2025-01-02,2025-10-29
ror:010p50m34,Bernstein Center for Computational Neuroscience Freiburg,010p50m34,DE,2,4,2022-08-19,2023-06-26
ror:010pmpe69,Lomonosov Moscow State University,010pmpe69,RU,2,8,2019-01-01,2021-09-24
ror:011gakh74,Universidad Nacional del Centro de la Provincia de Buenos Aires,011gakh74,AR,2,4,2019-08-07,2025-03-30
ror:011hc8f90,DEVCOM Army Research Laboratory,011hc8f90,US,2,2,2020-06-18,2026-05-22
ror:0121jnt59,Institut de Recherche et Coordination Acoustique Musique,0121jnt59,FR,2,7,2023-06-01,2024-10-04
ror:012jban78,Medical University of South Carolina,012jban78,US,2,4,2017-11-22,2021-03-03
ror:012zs8222,"University at Albany, State University of New York",012zs8222,US,2,3,2024-02-19,2025-05-23
ror:015dvxx67,Institute of Mental Health,015dvxx67,GB,2,1,2022-03-17,2024-01-01
ror:016bgq349,National Institute of Information and Communications Technology,016bgq349,JP,2,2,2017-11-21,2025-01-01
ror:016q5ce10,Jilian Technology Group (China),016q5ce10,CN,2,1,2025-12-18,2026-01-06
ror:01703db54,National Institute of Advanced Industrial Science and Technology,01703db54,JP,2,5,2020-09-24,2022-01-10
ror:019kqby73,Institut de Neurosciences des Systèmes,019kqby73,FR,2,3,2025-12-23,2026-02-06
ror:01aa0nz04,Bedford College,01aa0nz04,GB,2,4,2016-03-31,2026-06-17
ror:01an57a31,Pusan National University,01an57a31,KR,2,2,2024-08-21,2025-11-20
ror:01c4pz451,Tehran University of Medical Sciences,01c4pz451,IR,2,2,2022-02-11,2025-07-01
ror:01d2sez20,Missouri State University,01d2sez20,US,2,2,2018-11-21,2024-09-24
ror:01d88se56,UCLA Health,01d88se56,US,2,5,2024-05-24,2026-04-16
ror:01db6h964,University of Iceland,01db6h964,IS,2,2,2025-05-29,2025-12-19
ror:01dq60k83,Tohoku University,01dq60k83,JP,2,6,2023-01-01,2025-03-08
ror:01e3m7079,University of Cincinnati,01e3m7079,US,2,1,2022-01-01,2022-01-01
ror:01e6qks80,Dalhousie University,01e6qks80,CA,2,4,2024-03-15,2024-11-01
ror:01g8djv19,Solvay (Belgium),01g8djv19,BE,2,2,2019-07-03,2022-12-05
ror:01gw3d370,University of Windsor,01gw3d370,CA,2,4,2024-12-16,2024-12-31
ror:01gy4cq52,Laboratoire de Psychologie,01gy4cq52,FR,2,3,2024-12-12,2026-03-21
ror:01jdpyv68,Saarland University,01jdpyv68,DE,2,2,2025-03-12,2025-07-01
ror:01nckkm68,Sophia University,01nckkm68,JP,2,2,2023-11-01,2024-03-15
ror:01nfmeh72,University of Tasmania,01nfmeh72,AU,2,4,2019-09-17,2025-08-31
ror:01p93h210,University of South Australia,01p93h210,AU,2,1,2019-01-01,2021-01-10
ror:01q9r1072,Boys Town National Research Hospital,01q9r1072,US,2,5,2022-05-01,2023-10-26
ror:01qz7fr76,Brighton and Sussex Medical School,01qz7fr76,GB,2,2,2024-03-05,2025-04-12
ror:01r9z8p25,Universidad de La Laguna,01r9z8p25,ES,2,1,2017-10-19,2024-10-14
ror:01rtyzb94,Rensselaer Polytechnic Institute,01rtyzb94,US,2,1,2023-04-01,2024-12-19
ror:01s4gpq44,University of Talca,01s4gpq44,CL,2,3,2023-10-01,2024-11-11
ror:01sdp1y98,Centre de Recherches sur la Cognition et l'Apprentissage,01sdp1y98,FR,2,2,2023-01-01,2024-12-12
ror:01w6qp003,University of Veterinary Medicine Vienna,01w6qp003,AT,2,2,2023-09-29,2024-02-14
ror:01wttbg53,Hult International Business School,01wttbg53,GB,2,2,2019-07-03,2022-12-05
